mutantIndex;mutantType;copyingTime;mutationTime;buildingTime;isEqu;isDup;dupID;itCompiles
1;32;31;0;0;0;0;-1;0
1;32;0;24;138;0;0;-1;0
2;32;20;0;0;0;0;-1;0
2;32;0;3;129;0;0;-1;0
3;32;18;0;0;0;0;-1;0
3;32;0;2;134;0;0;-1;0
4;32;30;0;0;0;0;-1;0
4;32;0;11;133;0;0;-1;0
5;32;19;0;0;0;0;-1;0
5;32;0;2;127;0;0;-1;0
6;32;13;0;0;0;0;-1;0
6;32;0;2;124;0;0;-1;0
7;36;15;0;0;0;0;-1;0
7;36;0;13;133;0;0;-1;0
8;36;20;0;0;0;0;-1;0
8;36;0;0;126;0;0;-1;0
9;36;13;0;0;0;0;-1;0
9;36;0;1;123;0;0;-1;0
10;36;14;0;0;0;0;-1;0
10;36;0;0;124;0;0;-1;0
11;36;14;0;0;0;0;-1;0
11;36;0;1;132;0;0;-1;0
12;36;13;0;0;0;0;-1;0
12;36;0;1;134;0;0;-1;0
13;36;13;0;0;0;0;-1;0
13;36;0;1;131;0;0;-1;0
14;36;30;0;0;0;0;-1;0
14;36;0;1;124;0;0;-1;0
15;36;14;0;0;0;0;-1;0
15;36;0;0;124;0;0;-1;0
16;36;13;0;0;0;0;-1;0
16;36;0;1;125;0;0;-1;0
17;36;14;0;0;0;0;-1;0
17;36;0;1;124;0;0;-1;0
18;36;13;0;0;0;0;-1;0
18;36;0;1;124;0;0;-1;0
19;36;14;0;0;0;0;-1;0
19;36;0;0;125;0;0;-1;0
20;36;14;0;0;0;0;-1;0
20;36;0;0;131;0;0;-1;0
21;36;14;0;0;0;0;-1;0
21;36;0;1;123;0;0;-1;0
22;36;14;0;0;0;0;-1;0
22;36;0;1;124;0;0;-1;0
23;36;13;0;0;0;0;-1;0
23;36;0;0;124;0;0;-1;0
24;36;14;0;0;0;0;-1;0
24;36;0;0;125;0;0;-1;0
25;36;13;0;0;0;0;-1;0
25;36;0;1;131;0;0;-1;0
26;36;13;0;0;0;0;-1;0
26;36;0;1;123;0;0;-1;0
27;23;14;0;0;0;0;-1;0
27;23;0;3;127;0;0;-1;0
28;23;14;0;0;0;0;-1;0
28;23;0;13;128;0;0;-1;0
29;23;15;0;0;0;0;-1;0
29;23;0;8;131;0;0;-1;0
30;23;14;0;0;0;0;-1;0
30;23;0;8;131;0;0;-1;0
31;23;13;0;0;0;0;-1;0
31;23;0;2;133;0;0;-1;0
32;23;14;0;0;0;0;-1;0
32;23;0;13;132;0;0;-1;0
33;23;14;0;0;0;0;-1;0
33;23;0;8;132;0;0;-1;0
34;23;13;0;0;0;0;-1;0
34;23;0;7;136;0;0;-1;0
35;23;13;0;0;0;0;-1;0
35;23;0;5;123;0;0;-1;0
36;23;13;0;0;0;0;-1;0
36;23;0;8;124;0;0;-1;0
37;23;13;0;0;0;0;-1;0
37;23;0;5;123;0;0;-1;0
38;23;13;0;0;0;0;-1;0
38;23;0;8;124;0;0;-1;0
39;23;12;0;0;0;0;-1;0
39;23;0;7;123;0;0;-1;0
40;23;12;0;0;0;0;-1;0
40;23;0;12;124;0;0;-1;0
41;23;12;0;0;0;0;-1;0
41;23;0;5;126;0;0;-1;0
42;23;13;0;0;0;0;-1;0
42;23;0;5;124;0;0;-1;0
43;23;13;0;0;0;0;-1;0
43;23;0;7;123;0;0;-1;0
44;23;13;0;0;0;0;-1;0
44;23;0;7;122;0;0;-1;0
45;23;13;0;0;0;0;-1;0
45;23;0;7;123;0;0;-1;0
46;23;13;0;0;0;0;-1;0
46;23;0;6;137;0;0;-1;0
47;23;12;0;0;0;0;-1;0
47;23;0;7;134;0;0;-1;0
48;23;12;0;0;0;0;-1;0
48;23;0;6;123;0;0;-1;0
49;27;12;0;0;0;0;-1;0
49;27;0;5;125;0;0;-1;0
50;27;12;0;0;0;0;-1;0
50;27;0;1;123;0;0;-1;0
51;27;12;0;0;0;0;-1;0
51;27;0;1;122;0;0;-1;0
52;27;13;0;0;0;0;-1;0
52;27;0;5;124;0;0;-1;0
53;27;12;0;0;0;0;-1;0
53;27;0;3;122;0;0;-1;0
54;27;12;0;0;0;0;-1;0
54;27;0;2;123;0;0;-1;0
55;27;12;0;0;0;0;-1;0
55;27;0;5;123;0;0;-1;0
56;27;12;0;0;0;0;-1;0
56;27;0;5;122;0;0;-1;0
57;27;12;0;0;0;0;-1;0
57;27;0;2;123;0;0;-1;0
58;27;12;0;0;0;0;-1;0
58;27;0;3;122;0;0;-1;0
59;27;13;0;0;0;0;-1;0
59;27;0;4;124;0;0;-1;0
60;27;12;0;0;0;0;-1;0
60;27;0;1;123;0;0;-1;0
61;27;13;0;0;0;0;-1;0
61;27;0;5;130;0;0;-1;0
62;27;12;0;0;0;0;-1;0
62;27;0;1;131;0;0;-1;0
63;27;13;0;0;0;0;-1;0
63;27;0;2;131;0;0;-1;0
64;27;12;0;0;0;0;-1;0
64;27;0;12;131;0;0;-1;0
65;27;13;0;0;0;0;-1;0
65;27;0;4;131;0;0;-1;0
66;27;13;0;0;0;0;-1;0
66;27;0;2;132;0;0;-1;0
67;27;12;0;0;0;0;-1;0
67;27;0;5;132;0;0;-1;0
68;27;13;0;0;0;0;-1;0
68;27;0;5;143;0;0;-1;0
69;27;12;0;0;0;0;-1;0
69;27;0;11;125;0;0;-1;0
70;27;12;0;0;0;0;-1;0
70;27;0;11;125;0;0;-1;0
71;27;13;0;0;0;0;-1;0
71;27;0;11;123;0;0;-1;0
72;27;12;0;0;0;0;-1;0
72;27;0;1;123;0;0;-1;0
73;27;12;0;0;0;0;-1;0
73;27;0;11;123;0;0;-1;0
74;27;12;0;0;0;0;-1;0
74;27;0;1;123;0;0;-1;0
75;27;12;0;0;0;0;-1;0
75;27;0;10;123;0;0;-1;0
76;27;12;0;0;0;0;-1;0
76;27;0;2;122;0;0;-1;0
77;27;13;0;0;0;0;-1;0
77;27;0;10;123;0;0;-1;0
78;27;12;0;0;0;0;-1;0
78;27;0;4;122;0;0;-1;0
79;27;12;0;0;0;0;-1;0
79;27;0;1;123;0;0;-1;0
80;27;12;0;0;0;0;-1;0
80;27;0;0;124;0;0;-1;0
81;27;12;0;0;0;0;-1;0
81;27;0;4;123;0;0;-1;0
82;27;12;0;0;0;0;-1;0
82;27;0;4;123;0;0;-1;0
83;27;12;0;0;0;0;-1;0
83;27;0;0;123;0;0;-1;0
84;27;12;0;0;0;0;-1;0
84;27;0;2;123;0;0;-1;0
85;27;12;0;0;0;0;-1;0
85;27;0;10;123;0;0;-1;0
86;27;12;0;0;0;0;-1;0
86;27;0;10;123;0;0;-1;0
87;27;12;0;0;0;0;-1;0
87;27;0;2;123;0;0;-1;0
88;27;13;0;0;0;0;-1;0
88;27;0;10;123;0;0;-1;0
89;27;12;0;0;0;0;-1;0
89;27;0;4;137;0;0;-1;0
90;27;12;0;0;0;0;-1;0
90;27;0;4;124;0;0;-1;0
91;27;12;0;0;0;0;-1;0
91;27;0;0;125;0;0;-1;0
92;27;12;0;0;0;0;-1;0
92;27;0;4;123;0;0;-1;0
93;27;12;0;0;0;0;-1;0
93;27;0;1;123;0;0;-1;0
94;26;12;0;0;0;0;-1;0
94;26;0;2;123;0;0;-1;0
95;26;12;0;0;0;0;-1;0
95;26;0;4;124;0;0;-1;0
96;26;12;0;0;0;0;-1;0
96;26;0;4;123;0;0;-1;0
97;26;12;0;0;0;0;-1;0
97;26;0;1;123;0;0;-1;0
98;26;12;0;0;0;0;-1;0
98;26;0;2;123;0;0;-1;0
99;26;12;0;0;0;0;-1;0
99;26;0;2;123;0;0;-1;0
100;26;12;0;0;0;0;-1;0
100;26;0;5;131;0;0;-1;0
101;26;12;0;0;0;0;-1;0
101;26;0;2;123;0;0;-1;0
102;26;12;0;0;0;0;-1;0
102;26;0;4;123;0;0;-1;0
103;26;12;0;0;0;0;-1;0
103;26;0;2;123;0;0;-1;0
104;26;12;0;0;0;0;-1;0
104;26;0;4;126;0;0;-1;0
105;26;12;0;0;0;0;-1;0
105;26;0;2;123;0;0;-1;0
106;26;12;0;0;0;0;-1;0
106;26;0;11;123;0;0;-1;0
107;26;12;0;0;0;0;-1;0
107;26;0;1;123;0;0;-1;0
108;26;12;0;0;0;0;-1;0
108;26;0;5;124;0;0;-1;0
109;29;12;0;0;0;0;-1;0
109;29;0;5;123;0;0;-1;0
110;29;12;0;0;0;0;-1;0
110;29;0;2;123;0;0;-1;0
111;29;12;0;0;0;0;-1;0
111;29;0;5;127;0;0;-1;0
112;29;13;0;0;0;0;-1;0
112;29;0;2;129;0;0;-1;0
113;29;13;0;0;0;0;-1;0
113;29;0;1;132;0;0;-1;0
114;29;13;0;0;0;0;-1;0
114;29;0;2;132;0;0;-1;0
115;29;12;0;0;0;0;-1;0
115;29;0;1;131;0;0;-1;0
116;29;13;0;0;0;0;-1;0
116;29;0;11;131;0;0;-1;0
117;29;13;0;0;0;0;-1;0
117;29;0;1;131;0;0;-1;0
118;29;13;0;0;0;0;-1;0
118;29;0;1;131;0;0;-1;0
119;29;13;0;0;0;0;-1;0
119;29;0;5;130;0;0;-1;0
120;29;13;0;0;0;0;-1;0
120;29;0;5;131;0;0;-1;0
121;29;13;0;0;0;0;-1;0
121;29;0;5;135;0;0;-1;0
122;29;13;0;0;0;0;-1;0
122;29;0;5;132;0;0;-1;0
123;29;13;0;0;0;0;-1;0
123;29;0;2;148;0;0;-1;0
124;33;12;0;0;0;0;-1;0
124;33;0;2;123;0;0;-1;0
125;33;12;0;0;0;0;-1;0
125;33;0;2;123;0;0;-1;0
126;3;13;0;0;0;0;-1;0
126;3;0;1;125;0;0;-1;0
127;3;12;0;0;0;0;-1;0
127;3;0;0;124;0;0;-1;0
128;3;12;0;0;0;0;-1;0
128;3;0;1;122;0;0;-1;0
129;3;12;0;0;0;0;-1;0
129;3;0;1;126;0;0;-1;0
130;3;13;0;0;0;0;-1;0
130;3;0;0;124;0;0;-1;0
131;3;12;0;0;0;0;-1;0
131;3;0;1;124;0;0;-1;0
132;3;12;0;0;0;0;-1;0
132;3;0;1;123;0;0;-1;0
133;3;13;0;0;0;0;-1;0
133;3;0;0;124;0;0;-1;0
134;3;12;0;0;0;0;-1;0
134;3;0;0;124;0;0;-1;0
135;3;13;0;0;0;0;-1;0
135;3;0;0;125;0;0;-1;0
136;3;12;0;0;0;0;-1;0
136;3;0;1;124;0;0;-1;0
137;3;12;0;0;0;0;-1;0
137;3;0;0;123;0;0;-1;0
138;3;13;0;0;0;0;-1;0
138;3;0;1;123;0;0;-1;0
139;1;12;0;0;0;0;-1;0
139;1;0;1;123;0;0;-1;0
140;1;12;0;0;0;0;-1;0
140;1;0;1;123;0;0;-1;0
141;1;12;0;0;0;0;-1;0
141;1;0;0;123;0;0;-1;0
142;1;12;0;0;0;0;-1;0
142;1;0;1;123;0;0;-1;0
143;1;12;0;0;0;0;-1;0
143;1;0;0;123;0;0;-1;0
144;1;12;0;0;0;0;-1;0
144;1;0;1;123;0;0;-1;0
145;1;12;0;0;0;0;-1;0
145;1;0;0;123;0;0;-1;0
146;1;13;0;0;0;0;-1;0
146;1;0;0;123;0;0;-1;0
147;1;13;0;0;0;0;-1;0
147;1;0;0;123;0;0;-1;0
148;1;12;0;0;0;0;-1;0
148;1;0;1;123;0;0;-1;0
149;1;12;0;0;0;0;-1;0
149;1;0;0;123;0;0;-1;0
150;1;13;0;0;0;0;-1;0
150;1;0;0;124;0;0;-1;0
151;1;12;0;0;0;0;-1;0
151;1;0;0;123;0;0;-1;0
